aValue,bValue,Rs,Xc,Species,Type,Condition,frequencykHz
135.8220203,35.22985857,150.4134662,33.03969904,Goat,Carcass,H,50
133.952198,27.21136745,131.9688573,30.95161203,Goat,Carcass,H,50
157.4377444,30.86163021,153.6351082,35.26175111,Goat,Carcass,H,50
146.6054306,27.17224158,115.2419546,33.89762605,Goat,Carcass,H,50
138.5002537,30.44084787,130.7723687,29.60886809,Goat,Carcass,H,50
356.5726103,125.8206905,358.3245466,130.0148436,Goat,Carcass,H,50
146.3940563,29.76163467,143.2304109,27.48583316,Goat,Carcass,H,50
137.0334603,35.95993182,145.7215839,36.91764222,Goat,Carcass,H,50
161.286144,28.30078449,146.0633813,35.79387127,Goat,Carcass,H,50
147.5199099,29.13719504,142.2077979,30.42879038,Goat,Carcass,H,50
134.8611218,38.43161081,143.6556483,41.22891201,Goat,Carcass,H,50
136.8112638,33.22195261,125.3304063,29.43052097,Goat,Carcass,H,50
112.9734212,27.89957211,137.0034064,34.11843157,Goat,Carcass,H,50
145.1019074,28.24778527,161.4354438,27.257927,Goat,Carcass,H,50
149.0052896,32.02019201,153.255352,33.0058343,Goat,Carcass,H,50
141.0330684,35.3370339,139.9243214,37.55318435,Goat,Carcass,H,50
185.7997568,30.77316651,141.9315901,33.42960027,Goat,Carcass,H,50
169.5036272,33.39447279,162.3376759,30.58973073,Goat,Carcass,H,50
154.7327292,34.06847015,155.9641998,30.20319939,Goat,Carcass,H,50
151.4839755,37.86865562,159.892899,36.08837889,Goat,Carcass,H,50
147.9738159,28.01169194,143.9058852,31.50393605,Goat,Carcass,H,50
134.4597672,29.1593818,128.3107662,29.76272458,Goat,Carcass,H,50
126.1414457,25.04562372,150.5089577,30.90412568,Goat,Carcass,H,50
156.6272635,26.46001192,166.228373,28.20002716,Goat,Carcass,H,50
114.8965186,26.56916658,121.3113623,25.58994517,Goat,Carcass,H,50
125.2674358,29.14992006,133.8144387,25.65377332,Goat,Carcass,H,50
169.3035341,38.26510554,160.3424199,37.0576463,Goat,Carcass,H,50
146.8369736,34.65665485,146.3962966,38.14072017,Goat,Carcass,H,50
165.5943715,24.41325797,169.4433871,27.97868137,Goat,Carcass,H,50
153.6082661,25.2322419,154.5312266,30.99582549,Goat,Carcass,H,50
143.5452598,38.76263337,136.7606267,40.35828143,Goat,Carcass,H,50
1593.000866,292.2076618,1599.491514,293.001015,Goat,Carcass,H,50
137.5983626,39.07643301,139.8926526,34.21171547,Goat,Carcass,H,50
136.0020482,29.52610528,131.5401341,35.48263095,Goat,Carcass,H,50
154.9579579,25.60704824,165.078073,32.75568296,Goat,Carcass,H,50
126.17267,28.29346035,152.2944041,22.37033607,Goat,Carcass,H,50
157.2185713,35.95264536,115.037386,38.43603888,Goat,Carcass,H,50
141.6093634,33.71022755,166.3061822,31.83201444,Goat,Carcass,H,50
127.1631671,28.90279024,133.6403172,27.18019368,Goat,Carcass,H,50
137.7051728,27.75128554,148.1667347,32.83392974,Goat,Carcass,H,50
200.5381968,42.17800029,205.0695482,41.10981738,Goat,Carcass,H,50
131.4152527,29.14307017,139.7607988,27.54302269,Goat,Carcass,H,50
26.0943508,2.806629623,21.22477315,1.735317703,Goat,Carcass,H,50
1589.184954,293.8998407,1581.358157,293.2816929,Goat,Carcass,H,50
170.7189075,30.17609457,159.7927041,31.58093417,Goat,Carcass,H,50
122.2658726,28.07345369,150.9141791,31.59476063,Goat,Carcass,H,50
139.8610222,30.35198841,118.0901115,29.13418556,Goat,Carcass,H,50
141.3709438,40.5987051,138.3291636,36.98149525,Goat,Carcass,H,50
145.1995201,41.29312005,164.1519472,37.92393073,Goat,Carcass,H,50
356.5691972,129.3203768,354.582815,126.7122681,Goat,Carcass,H,50
555.9767928,73.21518281,535.5162422,69.75938102,Goat,Carcass,H,50
168.7698007,31.69701219,155.958634,28.38222058,Goat,Carcass,H,50
164.07772,28.6618842,150.3444211,34.39241943,Goat,Carcass,H,50
157.8890269,32.17072993,137.3379983,29.29486743,Goat,Carcass,H,50
19.02523611,3.653268377,10.63754973,1.110859041,Goat,Carcass,H,50
166.0144825,34.44143351,162.5298501,35.1376088,Goat,Carcass,H,50
183.8742395,48.81349985,213.3853502,46.74138044,Goat,Carcass,H,50
199.3132041,42.06210148,196.3284173,46.50192608,Goat,Carcass,H,50
137.6835607,38.32986625,141.2630919,37.04079256,Goat,Carcass,H,50
1481.539729,331.9495197,1480.543905,331.648145,Goat,Carcass,H,50
127.8304732,30.72286767,132.3803298,31.31930451,Goat,Carcass,H,50
140.3362739,33.62372699,141.4346441,35.5664706,Goat,Carcass,H,50
123.5207028,27.47697154,130.1226462,28.1166318,Goat,Carcass,H,50
353.1155406,130.8937127,352.7372058,124.2535274,Goat,Carcass,H,50
174.851023,29.7495812,162.1535601,23.1753066,Goat,Carcass,H,50
113.4962852,31.44759175,145.6899053,37.08892557,Goat,Carcass,H,50
159.578844,36.80866227,141.1463504,34.8633438,Goat,Carcass,H,50
128.936547,26.17640805,124.994435,26.88299906,Goat,Carcass,H,50
151.0614312,36.4127771,140.0066601,33.64431104,Goat,Carcass,H,50
171.1400708,36.92900591,157.4706443,43.18534912,Goat,Carcass,H,50
153.7731417,31.86299145,150.0595602,30.68485062,Goat,Carcass,H,50
198.4866722,43.68150234,216.6465744,41.2251484,Goat,Carcass,H,50
149.1416907,29.22910662,161.4947627,32.78400632,Goat,Carcass,H,50
202.0752275,44.01266806,216.3375362,43.06914895,Goat,Carcass,H,50
162.1172068,30.78538115,166.1061813,30.95181149,Goat,Carcass,H,50
162.6322846,30.73087798,141.298557,31.7802018,Goat,Carcass,H,50
165.8767272,39.13560362,148.4933217,38.40253072,Goat,Carcass,H,50
1369.304986,307.3619653,1360.073227,305.2746372,Goat,Carcass,H,50
179.4331806,28.4122685,160.2671188,30.27362597,Goat,Carcass,H,50
130.5097284,22.02075447,109.173703,26.26582458,Goat,Carcass,H,50
145.8339804,34.78528451,144.6618738,37.0202212,Goat,Carcass,H,50
133.16059,26.14731105,143.703552,32.1799589,Goat,Carcass,H,50
163.2005383,30.68376188,161.5088066,34.6577105,Goat,Carcass,H,50
167.7973347,31.04107041,164.7129751,29.6305947,Goat,Carcass,H,50
146.351217,33.79797843,147.8825427,30.48949295,Goat,Carcass,H,50
147.1575722,29.25725371,132.8913603,33.27199951,Goat,Carcass,H,50
167.346058,29.56229372,157.826517,30.47722275,Goat,Carcass,H,50
162.7942695,24.22730007,177.4343077,25.29655829,Goat,Carcass,H,50
1382.509086,305.0731871,1375.462064,305.4625122,Goat,Carcass,H,50
113.5554764,25.41728108,144.5595517,26.33234279,Goat,Carcass,H,50
144.7959576,29.84967432,154.5053004,28.40883695,Goat,Carcass,H,50
158.0289019,26.08928583,139.100375,31.28335104,Goat,Carcass,H,50
92.61921139,40.28113218,75.65176627,35.45037482,Goat,Carcass,H,50
144.4100907,29.14532492,146.4795358,29.63657252,Goat,Carcass,H,50
136.9027276,27.57554677,131.6175981,26.24172367,Goat,Carcass,H,50
110.8128716,24.90450996,136.5461092,25.90696868,Goat,Carcass,H,50
75.32751685,36.50869835,68.55536309,36.19312712,Goat,Carcass,H,50
162.6514068,37.23540598,146.1702714,40.68741807,Goat,Carcass,H,50
154.0295671,35.44383364,162.2340414,33.5658404,Goat,Carcass,H,50
138.6553322,28.41418788,150.4681804,34.78601791,Goat,Carcass,H,50
193.2884572,44.76916827,190.159048,43.51288583,Goat,Carcass,H,50
161.7125418,31.73203643,140.3019605,26.6469335,Goat,Carcass,H,50
161.9474124,26.18679444,148.8977162,27.36427349,Goat,Carcass,H,50
154.9326267,30.38302136,160.8103384,26.93818847,Goat,Carcass,H,50
77.65481027,37.52481183,78.80756648,38.59101343,Goat,Carcass,H,50
176.0132033,41.18325569,158.7724393,36.72377544,Goat,Carcass,H,50
181.3053644,27.54967967,157.6072111,29.90785308,Goat,Carcass,H,50
140.0399151,21.58291203,138.4881754,27.01243236,Goat,Carcass,H,50
1584.325332,297.0333601,1595.56319,292.6141048,Goat,Carcass,H,50
139.5380362,29.67906435,177.7044947,27.40838895,Goat,Carcass,H,50
132.1310092,33.20036916,139.345401,30.41380536,Goat,Carcass,H,50
131.5667428,26.29283415,131.0182571,31.20593293,Goat,Carcass,H,50
142.0830371,34.12727752,156.8413333,33.52077893,Goat,Carcass,H,50
134.2883196,29.59597488,134.8367682,28.3520288,Goat,Carcass,H,50
136.9388007,30.03928017,134.7952581,34.65906518,Goat,Carcass,H,50
548.2519838,71.89407187,567.7300323,71.75659215,Goat,Carcass,H,50
130.0041829,34.54267292,139.1689755,33.21713203,Goat,Carcass,H,50
131.2650553,27.65374572,154.2059221,33.52713165,Goat,Carcass,H,50
151.5967064,31.83871231,136.8811212,32.25009147,Goat,Carcass,H,50
118.5785399,32.72127206,160.6593768,30.22899658,Goat,Carcass,H,50
139.1826774,22.7039249,127.4013307,30.37139603,Goat,Carcass,H,50
147.5875379,27.23301896,160.1496419,31.23444236,Goat,Carcass,H,50
95.59029403,25.17650586,132.8457271,27.07301096,Goat,Carcass,H,50
158.0204255,30.3324466,162.120637,32.33348117,Goat,Carcass,H,50
159.1119743,29.03066307,134.9012095,26.69302068,Goat,Carcass,H,50
157.8555912,32.17844555,151.7165548,31.67844147,Goat,Carcass,H,50
141.0483472,33.61451065,152.561404,30.18776272,Goat,Carcass,H,50
128.894147,31.5238364,151.8422433,30.02411839,Goat,Carcass,H,50
195.460533,40.64449398,206.8737762,46.41376309,Goat,Carcass,H,50
176.3487624,37.51634094,160.207482,37.35166759,Goat,Carcass,H,50
158.289011,27.28867004,173.4976988,30.14530916,Goat,Carcass,H,50
121.938671,29.84995135,139.3826892,28.44192585,Goat,Carcass,H,50
211.7740955,38.74061947,198.3669689,41.76489027,Goat,Carcass,H,50
118.4400258,29.34401316,138.8657915,24.90767622,Goat,Carcass,H,50
166.9315226,34.11509773,167.9861353,38.91894256,Goat,Carcass,H,50
125.7004548,37.31549868,145.509259,35.19861487,Goat,Carcass,H,50
150.3671047,34.97505027,141.7402327,28.8234861,Goat,Carcass,H,50
132.6545839,39.34970062,150.4907369,39.89294047,Goat,Carcass,H,50
150.2507609,37.8031898,132.3198427,33.1572256,Goat,Carcass,H,50
171.7975312,35.60797745,151.7254681,34.27793658,Goat,Carcass,H,50
167.7088392,28.62393002,167.5932337,28.93659149,Goat,Carcass,H,50
155.8754862,28.49391484,143.1044099,31.52981989,Goat,Carcass,H,50
160.849985,28.39064938,154.5143788,28.66343344,Goat,Carcass,H,50
68.41119955,39.17499588,73.32290627,38.64756156,Goat,Carcass,H,50
1364.882846,301.8031576,1358.101378,301.9214985,Goat,Carcass,H,50
140.5246078,32.06480313,132.6526899,30.64657789,Goat,Carcass,H,50
353.3024811,126.113478,377.8744082,126.4554446,Goat,Carcass,H,50
133.6256939,26.70410405,116.0081356,25.51174968,Goat,Carcass,H,50
122.145321,32.05758432,147.8416603,31.44376984,Goat,Carcass,H,50
135.7710616,38.47836944,146.4527816,35.94453633,Goat,Carcass,H,50
151.9473859,32.67686818,134.803412,29.03451991,Goat,Carcass,H,50
140.4097139,34.9871707,141.3920966,40.93755213,Goat,Carcass,H,50
147.7282618,33.44275969,145.1598593,32.82254609,Goat,Carcass,H,50
113.2793707,29.92218974,143.9587371,28.21352324,Goat,Carcass,H,50
117.1383538,27.16701352,136.9231305,29.39584144,Goat,Carcass,H,50
152.0022153,26.48961237,178.7426652,27.32032206,Goat,Carcass,H,50
176.4879775,30.37586084,162.9470871,28.64301302,Goat,Carcass,H,50
159.5265953,29.63790094,143.6233085,31.92944402,Goat,Carcass,H,50
133.5545763,28.40538413,137.0744003,28.07332542,Goat,Carcass,H,50
1097.858978,356.0974685,1104.065272,354.739909,Goat,Carcass,H,50
125.654705,28.76225257,121.8512699,30.51545659,Goat,Carcass,H,50
129.07569,32.19421938,123.3870484,27.65971156,Goat,Carcass,H,50
150.0730943,32.50607487,139.2732946,32.98584481,Goat,Carcass,H,50
171.825989,27.48553821,173.9820067,26.70131563,Goat,Carcass,H,50
164.5965382,30.2413189,174.3447773,26.50881965,Goat,Carcass,H,50
118.7093877,30.54607658,140.3655655,28.88288252,Goat,Carcass,H,50
153.7260257,30.83483596,167.1893265,27.37737354,Goat,Carcass,H,50
140.8429202,35.07001596,160.9649241,35.65734168,Goat,Carcass,H,50
171.3222632,27.74485135,151.2259611,25.83388262,Goat,Carcass,H,50
4.701915203,2.075142307,26.86882392,5.184692459,Goat,Carcass,H,50
163.8859817,31.12492431,151.9791925,31.12933562,Goat,Carcass,H,50
131.6435569,25.98640467,147.5838922,27.68809119,Goat,Carcass,H,50
158.5279234,30.92441997,180.7639488,28.56823237,Goat,Carcass,H,50
155.9777902,26.55447786,140.4359588,37.12695604,Goat,Carcass,H,50
68.32581951,39.6040876,66.77570119,39.70769574,Goat,Carcass,H,50
110.25005,34.56498191,145.8116757,32.07897428,Goat,Carcass,H,50
576.1506356,73.61594515,535.0463813,67.1671384,Goat,Carcass,H,50
139.8151005,36.97941739,143.1692696,36.12842017,Goat,Carcass,H,50
144.1722585,25.57013436,149.8633189,28.36883172,Goat,Carcass,H,50
163.0561442,38.64654643,133.2982071,33.85209282,Goat,Carcass,H,50
127.5433517,21.26911394,143.1806882,30.99732126,Goat,Carcass,H,50
146.6862959,29.20892551,145.6572485,32.42382198,Goat,Carcass,H,50
147.9547204,26.93627847,105.1922623,23.92099083,Goat,Carcass,H,50
171.1089487,37.84946471,150.1559999,38.16662109,Goat,Carcass,H,50
129.2763615,24.5894201,140.3300753,25.32345861,Goat,Carcass,H,50
1575.644093,294.9016778,1595.46583,296.1470805,Goat,Carcass,H,50
145.4883164,30.68110676,123.9152099,33.90500593,Goat,Carcass,H,50
136.1630845,33.38470588,130.9864101,31.64864765,Goat,Carcass,H,50
118.5036675,29.772727,136.235212,31.86889157,Goat,Carcass,H,50
157.9449715,31.55693707,148.3660356,36.51721099,Goat,Carcass,H,50
143.5835879,29.79073809,119.8286305,32.77506055,Goat,Carcass,H,50
130.2876776,30.02210475,131.2475505,26.1181656,Goat,Carcass,H,50
187.8400132,36.09627781,175.0675586,34.07031259,Goat,Carcass,H,50
149.5336534,33.63515907,148.4655789,34.11655144,Goat,Carcass,H,50
166.1119291,33.64745515,143.0686342,29.42374835,Goat,Carcass,H,50
178.3701072,32.26296216,158.2602623,31.98164053,Goat,Carcass,H,50
170.6427328,34.86742513,168.7943817,39.78417092,Goat,Carcass,H,50
169.2217585,34.31058162,178.8269124,27.83081155,Goat,Carcass,H,50
138.9015958,32.42048977,177.5636097,33.74050317,Goat,Carcass,H,50
70.97408696,43.23833934,89.19373774,36.31483416,Goat,Carcass,H,50
135.1151369,36.05511831,146.1943719,37.21332459,Goat,Carcass,H,50
139.6124616,28.54398391,156.6964918,30.42284723,Goat,Carcass,H,50
168.4166424,33.33697828,150.4631041,33.99665722,Goat,Carcass,H,50
120.4260627,29.42514748,121.5585657,27.19020718,Goat,Carcass,H,50
142.4157686,37.04833042,153.2005167,38.44376807,Goat,Carcass,H,50
127.9887563,29.53992829,132.4912509,30.60113199,Goat,Carcass,H,50
148.6418039,35.10334439,141.3155759,32.86347311,Goat,Carcass,H,50
174.8600132,39.06377999,176.8499482,35.39282405,Goat,Carcass,H,50
120.3823191,28.91112302,142.4021944,32.35527911,Goat,Carcass,H,50
150.8760374,36.11703218,154.5203492,35.44036494,Goat,Carcass,H,50
159.8387725,25.41026742,168.0157504,29.11983962,Goat,Carcass,H,50
127.5275676,30.42557207,141.6316437,32.08973624,Goat,Carcass,H,50
139.3999815,39.46643597,133.4801142,37.7451181,Goat,Carcass,H,50
137.0134104,29.36245509,146.1190318,30.09420188,Goat,Carcass,H,50
